,AXISBANK,BANKBARODA,HDFCBANK,ICICIBANK,PNB,SBI
0,-1.2121955726091618,-1.5868866798613357,-0.9673704063418899,-1.5753657010275572,-1.8933059288990322,-1.6959254606472216
1,-1.2123424974197627,-1.5993812746721185,-0.9680615424588805,-1.5582043039619866,-1.8945154988707535,-1.696184202961326
2,-1.2117547981773586,-1.6035461396090462,-0.9679972507270673,-1.5439340735981493,-1.8943427031605073,-1.6986663749915505
3,-1.2118527480510928,-1.604587355843278,-0.965586310784077,-1.5513581993913015,-1.8907139932453434,-1.6977355604802165
4,-1.211803773114226,-1.6082316126630898,-0.9668560724873854,-1.5483694584648582,-1.8884676490121466,-1.6967005912237978
5,-1.2111181239980877,-1.6054550360384714,-0.9680454695259273,-1.5529013569668781,-1.8882948533019006,-1.6961326737716529
6,-1.2094529761446098,-1.602678459413853,-0.9680454695259273,-1.5545399675883664,-1.8898500146941137,-1.697218075852007
7,-1.2082286027229348,-1.6019843152576982,-0.9678525943304879,-1.555600556987388,-1.8888132404326383,-1.694425632318005
8,-1.2106283746294177,-1.6042402837652008,-0.9679008131293478,-1.5577217357854318,-1.8969346388141963,-1.7031658599792006
9,-1.2102365751344817,-1.6049344279213553,-0.9679651048611608,-1.5577217357854318,-1.8943427031605073,-1.7037874993524944
10,-1.2103345250082158,-1.6113552613657856,-0.9679329589952543,-1.5621571206521405,-1.8898500146941137,-1.7058563414995938
11,-1.2105304247556838,-1.6219409597471428,-0.9677240108668619,-1.564566779766718,-1.8945154988707535,-1.70957959954493
12,-1.2113140237455557,-1.619511455200602,-0.9679811777941141,-1.5626386282392963,-1.897453025944934,-1.707614912142915
13,-1.2111670989349548,-1.616908414615022,-0.9677240108668619,-1.5623501479227624,-1.8965890473937044,-1.7046141591187438
14,-1.2110691490612209,-1.6167348785759834,-0.9666149784930862,-1.56119304488843,-1.8979714130756717,-1.7086487850335959
15,-1.212293522482896,-1.632873730206578,-0.9663899574317405,-1.5632177100511624,-1.9038464672240327,-1.7094250119759098
16,-1.2138607204626397,-1.6233292480594523,-0.9664060303646937,-1.5618675797462076,-1.901081735860098,-1.7095280703552567
17,-1.2140566202101077,-1.6259322886450318,-0.9676115003361889,-1.5688101979522038,-1.9007361444396063,-1.711442324933336
18,-1.2140566202101077,-1.6262793607231092,-0.9670650206157778,-1.572376960101114,-1.901081735860098,-1.7128895277071414
19,-1.2151830437580489,-1.6302706896209982,-0.9676275732691422,-1.5771018858737558,-1.9047104457752624,-1.7149068406645673
20,-1.216064592621655,-1.633394338323694,-0.9672096770123572,-1.5684241434109598,-1.9083391556904266,-1.7101486133628125
21,-1.2161625424953888,-1.6361709149483123,-0.9679008131293478,-1.575848269204112,-1.9076479728494429,-1.7124246686343434
22,-1.216407417179724,-1.636344450987351,-0.9670650206157778,-1.5707383494796252,-1.9104127042133776,-1.706528413696823
23,-1.2160156176847878,-1.6335678743627324,-0.967675792068002,-1.5627351418746074,-1.9066111985879675,-1.710563039611675
24,-1.215036118947448,-1.6356503068311963,-0.9679490319282076,-1.5706418358443144,-1.9005633487293603,-1.708804468968354
25,-1.2155258683161179,-1.6285353292306117,-0.9679490319282076,-1.5774868798256005,-1.89762582165518,-1.7069932727696215
26,-1.2155258683161179,-1.6359973789092734,-0.9676597191350488,-1.5789335237658662,-1.9012545315703442,-1.7074076990184837
27,-1.2157217680635857,-1.6359973789092734,-0.9678686672634413,-1.5780659616374662,-1.9040192629342787,-1.7064768845071498
28,-1.2156727931267188,-1.6398151717681237,-0.9681419071236468,-1.5800906268001986,-1.9038464672240327,-1.7083900427194914
29,-1.2153299685686498,-1.636344450987351,-0.9679490319282076,-1.5802836540708207,-1.9054016286162458,-1.7063212005723918
30,-1.2155748432529847,-1.6330472662456168,-0.9680133236600206,-1.582789826820709,-1.9047104457752624,-1.70663147207617
31,-1.2155258683161179,-1.6349561626750415,-0.9674668439396096,-1.5828863404560198,-1.9050560371957541,-1.7072004858940524
32,-1.2154768933792508,-1.6365179870263895,-0.9684955116486188,-1.5867426435108631,-1.903155284383049,-1.708494197464576
33,-1.2498083241230176,-1.8140453549629278,-1.0354553503319375,-1.8418631810879422,-2.0586714236043715,-1.9463123714646102
