,AXISBANK,BANKBARODA,HDFCBANK,ICICIBANK,PNB,SBI
2002-07-01,7.68,13.09,42.36,25.1273,9.57,22.8379
2002-07-02,7.65,12.37,41.93,26.7454,9.5,22.8143
2002-07-03,7.77,12.13,41.97,28.0909,9.51,22.5879
2002-07-04,7.75,12.07,43.47,27.3909,9.72,22.6728
2002-07-05,7.76,11.86,42.68,27.6727,9.85,22.7672
2002-07-08,7.9,12.02,41.94,27.2454,9.86,22.819
2002-07-09,8.24,12.18,41.94,27.0909,9.77,22.72
2002-07-10,8.49,12.22,42.06,26.9909,9.83,22.9747
2002-07-11,8.0,12.09,42.03,26.7909,9.36,22.1775
2002-07-12,8.08,12.05,41.99,26.7909,9.51,22.1208
2002-07-15,8.06,11.68,42.01,26.3727,9.77,21.9321
2002-07-16,8.02,11.07,42.14,26.1455,9.5,21.5925
2002-07-17,7.86,11.21,41.98,26.3273,9.33,21.7717
2002-07-18,7.89,11.36,42.14,26.3545,9.38,22.0454
2002-07-19,7.91,11.37,42.83,26.4636,9.3,21.6774
2002-07-22,7.66,10.44,42.97,26.2727,8.96,21.6066
2002-07-23,7.34,10.99,42.96,26.4,9.12,21.5972
2002-07-24,7.3,10.84,42.21,25.7454,9.14,21.4226
2002-07-25,7.3,10.82,42.55,25.4091,9.12,21.2906
2002-07-26,7.07,10.59,42.2,24.9636,8.91,21.1066
2002-07-29,6.89,10.41,42.46,25.7818,8.7,21.5406
2002-07-30,6.87,10.25,42.03,25.0818,8.74,21.333
2002-07-31,6.82,10.24,42.55,25.5636,8.58,21.8708
2002-08-01,6.9,10.4,42.17,26.3182,8.8,21.5028
2002-08-02,7.1,10.28,42.0,25.5727,9.15,21.6632
2002-08-05,7.0,10.69,42.0,24.9273,9.32,21.8284
2002-08-06,7.0,10.26,42.18,24.7909,9.11,21.7906
2002-08-07,6.96,10.26,42.05,24.8727,8.95,21.8755
2002-08-08,6.97,10.04,41.88,24.6818,8.96,21.701
2002-08-09,7.04,10.24,42.0,24.6636,8.87,21.8897
2002-08-12,6.99,10.43,41.96,24.4273,8.91,21.8614
2002-08-13,7.0,10.32,42.3,24.4182,8.89,21.8095
2002-08-14,7.01,10.23,41.66,24.0546,9.0,21.6915
2002-08-15,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-16,7.0,10.35,42.06,24.4,9.11,21.6868
2002-08-19,6.94,10.31,42.2,24.7091,9.24,21.701
2002-08-20,7.01,10.3,42.31,24.5455,9.37,21.7529
2002-08-21,6.97,10.28,41.88,24.6,9.27,21.7293
2002-08-22,7.07,10.16,41.79,24.4364,9.15,21.8425
2002-08-23,7.1,10.3,41.9,25.3364,9.35,21.8661
2002-08-26,7.26,10.33,42.08,25.3364,9.29,21.9888
2002-08-27,7.27,10.3,41.97,25.4091,9.18,21.8897
2002-08-28,7.16,10.31,41.97,25.3182,9.06,21.9557
2002-08-29,7.0,10.3,42.12,25.2546,9.03,21.9935
2002-08-30,7.01,10.4,41.91,26.1091,9.13,22.7719
2002-09-02,7.11,10.28,41.98,25.8636,9.1,22.4181
